index,symbol,companyName,floor,industryName
170,NFC,Công ty Cổ phần Phân lân Ninh Bình ,HNX,Hóa chất đặc biệt
171,NHC,Công ty Cổ phần gạch ngói Nhị Hiệp ,HNX,Vật liệu xây dựng
172,NRC,Công ty Cổ phần Tập đoàn Danh Khôi,HNX,Dịch vụ bất động sản
173,NSH,Công ty Cổ phần Nhôm Sông Hồng,HNX,Nhôm
174,NST,Công ty Cổ phần Ngân Sơn ,HNX,Thuốc lá
175,NTH,Công ty cổ phần Thủy điện Nước trong,HNX,Điện
176,NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong ,HNX,Vật liệu xây dựng
177,NVB,Ngân hàng Thương mại Cổ phần Quốc Dân ,HNX,Ngân hàng
178,OCH,Công ty Cổ phần Khách sạn và Dịch vụ OCH,HNX,Đầu tư và phát triển bất động sản
179,ONE,Công ty Cổ phần Truyền thông số 1,HNX,Thiết bị viễn thông
180,PBP,Công ty Cổ phần Bao bì Dầu khí Việt Nam,HNX,Bao bì & đóng gói
