index,symbol,companyName,floor,industryName
678,SPB,Công ty cổ phần Sợi Phú Bài,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
679,SPC,Công ty Cổ phần Bảo vệ thực vật Sài Gòn,UPCOM,Hóa chất đặc biệt
680,SPD,Công ty Cổ phần Xuất nhập khẩu Thủy sản miền Trung ,UPCOM,Nông sản và thủy hải sản
681,SPH,Công ty Cổ phần xuất nhập khẩu thủy sản Hà Nội,UPCOM,Nông sản và thủy hải sản
682,SPP,Công ty Cổ phần Bao bì Nhựa Sài Gòn,UPCOM,Bao bì & đóng gói
683,SPV,Công ty cổ phần Thủy Đặc Sản,UPCOM,Sản xuất thực phẩm
684,SQC,Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn ,UPCOM,Khai khoáng nói chung
685,SRB,Công ty Cổ phần Tập đoàn SARA ,UPCOM,Dịch vụ cung ứng lao động và đào tạo
686,SRT,Công ty cổ phần Vận tải Đường sắt Sài Gòn,UPCOM,Dịch vụ vận tải
687,SSF,Công ty Cổ phần Giáo dục Sài Gòn,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
688,SSG,Công ty Cổ phần Vận tải biển Hải Âu,UPCOM,Vận tải biển
689,SSH,Công ty Cổ phần phát triển Sunshine Homes,UPCOM,"Xây dựng, chế tạo nhà ở"
690,SSN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn,UPCOM,Nông sản và thủy hải sản
691,SSU,Công ty Cổ phần Môi trường Đô thị Sóc Sơn,UPCOM,Dịch vụ xử lý phế liệu phế thải
692,STH,Công ty cổ phần phát hành sách Thái Nguyên,UPCOM,Dịch vụ tiêu dùng chuyên dụng
693,STL,Công ty Cổ phần Sông Đà - Thăng Long,UPCOM,Đầu tư và phát triển bất động sản
694,STS,Công ty Cổ phần Dịch vụ Vận tải Sài Gòn,UPCOM,Dịch vụ vận tải
695,STT,Công ty Cổ phần Vận chuyển Sài Gòn Tourist ,UPCOM,Du lịch
696,STW,Công ty cổ phần Cấp nước Sóc Trăng,UPCOM,Nước
697,SVG,Công ty cổ phần Hơi Kĩ Nghệ Que Hàn,UPCOM,Hóa chất đặc biệt
698,SVH,Công ty cổ phần Thủy điện Sông Vàng,UPCOM,Điện
699,SVL,Công ty cổ phần Nhân lực Quốc tế Sovilaco,UPCOM,Dịch vụ cung ứng lao động và đào tạo
700,SWC,Tổng Công ty Cổ phần Đường sông Miền Nam ,UPCOM,Vận tải biển
701,SZE,Công ty cổ phần Môi trường Sonadezi,UPCOM,Dịch vụ xử lý phế liệu phế thải
702,SZG,Công ty Cổ phần Sonadezi Giang Điền,UPCOM,Dịch vụ bất động sản
703,T12,Công ty Cổ phần Thương mại Dịch vụ Tràng Thi,UPCOM,Bán lẻ dụng cụ gia đình
704,TA3,Công ty Cổ phần Đầu tư và Xây lắp Thành An 386,UPCOM,Xây dựng công trình
705,TA6,Công ty cổ phần Đầu tư và Xây lắp Thành An 665,UPCOM,Xây dựng công trình
706,TAG,Công ty Cổ phần Thế giới số Trần Anh,UPCOM,Phần cứng
707,TAN,Công ty cổ phần cà phê Thuận An,UPCOM,Nông sản và thủy hải sản
708,TAP,Công ty cổ phần Đô thị Tân An,UPCOM,Dịch vụ tiện ích tổng hợp
709,TAW,Công ty Cổ phần Cấp nước Trung An,UPCOM,Nước
710,TB8,Công ty cổ phần Sản xuất và kinh doanh Vật tư Thiết bị - VVMI,UPCOM,Vật liệu xây dựng
711,TBD,Tổng Công ty Thiết bị điện Đông Anh,UPCOM,Thiết bị điện
712,TBH,Công ty Cổ phần Tổng Bách Hóa,UPCOM,Dịch vụ bất động sản
713,TBT,Công ty Cổ phần Xây dựng Công trình Giao thông Bến Tre,UPCOM,Xây dựng công trình
714,TCI,Công ty cổ phần Chứng khoán Thành Công,UPCOM,Dịch vụ đầu tư
715,TCJ,Công ty Cổ phần Tô Châu,UPCOM,Nông sản và thủy hải sản
716,TCK,Tổng công ty Cơ khí xây dựng - CTCP,UPCOM,Xây dựng công trình
717,TCW,Công ty Cổ phần Kho vận Tân Cảng,UPCOM,Dịch vụ vận tải
