index,symbol,companyName,floor,industryName
371,UIC,Công ty Cổ phần Đầu tư phát triển Nhà và Đô thị IDICO ,HOSE,Xây dựng công trình
372,VAF,Công ty Cổ phần Phân lân nung chảy Văn Điển,HOSE,Hóa chất đặc biệt
373,VCA,Công ty Cổ phần Thép VICASA - VNSTEEL,HOSE,Thép
374,VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam ,HOSE,Ngân hàng
375,VCF,Công ty Cổ phần Vinacafé Biên Hòa,HOSE,Nước ngọt
376,VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và xây dựng Việt Nam ,HOSE,Xây dựng công trình
377,VCI,Công ty Cổ phần Chứng khoán Bản Việt,HOSE,Dịch vụ đầu tư
378,VDP,Công ty Cổ phần Dược phẩm Trung ương Vidipha,HOSE,Dược phẩm
379,VDS,Công ty Cổ phần Chứng khoán Rồng Việt (VDSC),HOSE,Dịch vụ đầu tư
380,VFG,Công ty Cổ phần Khử trùng Việt Nam ,HOSE,Hóa chất đặc biệt
381,VGC,Tổng Công ty Viglacera - CTCP,HOSE,Vật liệu xây dựng
382,VHC,Công ty Cổ phần Vĩnh Hoàn,HOSE,Nông sản và thủy hải sản
383,VHM,Công ty cổ phần Vinhomes,HOSE,Đầu tư và phát triển bất động sản
384,VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,HOSE,Ngân hàng
385,VIC,Tập đoàn VINGROUP - CTCP,HOSE,Đầu tư và phát triển bất động sản
386,VID,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,HOSE,Giấy
387,VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,HOSE,Vận tải biển
388,VIS,Công ty Cổ phần Thép Việt Ý,HOSE,Thép
389,VIX,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VIX,HOSE,Dịch vụ đầu tư
390,VJC,Công ty cổ phần Hàng không VIETJET,HOSE,Hàng không
391,VMD,Công ty Cổ phần Y Dược phẩm Vimedimex ,HOSE,Bán lẻ dược phẩm
392,VND,Công ty Cổ phần Chứng khoán VNDIRECT,HOSE,Dịch vụ đầu tư
393,VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,HOSE,Xây dựng công trình
394,VNG,Công ty Cổ phần Du lịch Thành Thành Công,HOSE,Khách sạn
395,VNL,Công ty Cổ phần LOGISTICS VINALINK ,HOSE,Vận tải biển
396,VNM,Công ty Cổ phần Sữa Việt Nam,HOSE,Sản xuất thực phẩm
397,VNS,Công ty Cổ phần Ánh Dương Việt Nam ,HOSE,Du lịch
398,VOS,Công ty Cổ phần Vận tải biển Việt Nam ,HOSE,Vận tải biển
399,VPB,Ngân hàng Thương mại Cổ phần Việt Nam thịnh vượng,HOSE,Ngân hàng
400,VPD,Công ty Cổ phần Phát triển Điện Lực Việt Nam,HOSE,Điện
401,VPG,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,HOSE,Than đá
402,VPH,Công ty Cổ phần Vạn Phát Hưng ,HOSE,Đầu tư và phát triển bất động sản
403,VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest,HOSE,Đầu tư và phát triển bất động sản
404,VPS,Công ty Cổ phần thuốc sát trùng Việt Nam ,HOSE,Hóa chất đặc biệt
405,VRC,Công ty cổ phần Bất động sản và Đầu tư VRC,HOSE,Đầu tư và phát triển bất động sản
406,VRE,Công ty Cổ phần Vincom Retail,HOSE,Đầu tư và phát triển bất động sản
407,VSC,Công ty Cổ phần Container Việt Nam ,HOSE,Dịch vụ vận tải
408,VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn – Sông Hinh,HOSE,Điện
409,VSI,Công ty Cổ phần đầu tư và xây dựng cấp thoát nước,HOSE,Xây dựng công trình
410,VTB,Công ty Cổ phần Viettronics Tân Bình,HOSE,Đồ điện tử
411,VTO,Công ty Cổ phần Vận tải xăng dầu VITACO,HOSE,Vận tải biển
412,YBM,Công ty cổ phần Khoáng sản công nghiệp Yên Bái,HOSE,Hóa chất đặc biệt
413,YEG,Công ty cổ phần Tập đoàn Yeah1,HOSE,Các hãng truyền thông
